context,question,answer,pasal,ayat
,Apa yang dilakukan oleh fakultas/program studi menjelang akhir semester?,Fakultas/ program studi menetapkan jadwal kuliah untuk menjalankan suatu kurikulum.,21.0,1
,Tujuan dari penentuan jadwal kuliah oleh fakultas/program studi?,Untuk menjalankan suatu kurikulum.,21.0,1
,Apa yang termasuk dalam jadwal kuliah sebagaimana dimaksud pada ayat (1)?,"Jadwal kuliah tersebut setidaknya mencakup hama mata kuliah dan kelas, koordinator mata kuliah, hari dan jam kuliah, tempat/ruang kuliah, dan dosen pengampu.",21.0,2
,Apa yang dimaksud dengan koordinator mata kuliah dalam jadwal kuliah?,Koordinator mata kuliah adalah salah satu bagian dari jadwal kuliah yang harus dicakup.,21.0,2
,Siapa yang menentukan Jadwal Mata Kuliah Umum?,Universitas.,21.0,3
,Apakah suatu mata kuliah bisa diselenggarakan dalam beberapa kelas?,"Ya, suatu mata kuliah dapat diselenggarakan dalam beberapa kelas.",21.0,4
,Apakah perkuliahan dapat dilakukan secara daring pada kondisi khusus yang ditetapkan oleh universitas atau fakultas?,"Ya, perkuliahan dapat dilakukan secara daring pada kondisi khusus yang ditetapkan oleh universitas atau fakultas.",21.0,5
,Apakah yang dilakukan dosen pada awal pembelajaran di kelas?,"Dosen memberikan pesan tentang adab, moral, etika dan bela negara kepada mahasiswa selama kurang lebih 5-10 menit.",21.0,6
,Apa tujuan utama penilaian hasil belajar mahasiswa?,Tujuan utama penilaian hasil belajar mahasiswa adalah untuk mengukur pencapaian kompetensi pembelajaran yang ditetapkan oleh program studi.,28.0,1
,Apakah aspek hardskill dan softskill harus dicakup dalam penilaian hasil belajar mahasiswa?,"Ya, penilaian hasil belajar mahasiswa harus mencakup aspek hardskill dan softskill.",28.0,2
,Apa saja bentuk-bentuk penilaian hasil belajar yang dapat dilakukan berdasarkan alasan tertentu?,"Penilaian hasil belajar dapat dilakukan dalam bentuk ujian tertulis, ujian lisan, ujian praktikum/keterampilan, portofolio, tugas akhir (skripsi atau bentuk lain yang setara), dan bentuk-bentuk lain.",28.0,2
,Apa bobot evaluasi aktifitas partisipatif dan hasil proyek/studi kasus dalam menentukan nilai akhir hasil belajar?,Bobot evaluasi lebih dari 50%.,28.0,3
,Apa komponen penilaian lainnya yang digunakan untuk menentukan nilai akhir hasil belajar selain evaluasi aktifitas partisipatif dan hasil proyek/studi kasus?,"Evaluasi Tengah Semester (ETS), Evaluasi Akhir Semester (EAS), tugas, kuis, praktikum, dan keterampilan berperilaku.",28.0,3
,Bagaimana penilaian hasil belajar dinyatakan dalam sistem ini?,"Penilaian hasil belajar dinyatakan dengan huruf, yaitu menggunakan huruf A, A-, B+, B, B-, C+, C, D, dan E.",28.0,4
,Apa nilai lulus minimal untuk tugas akhir/skripsi/prototipe dalam sistem ini?,Nilai lulus minimal tugas akhir/skripsi/prototipe adalah B.,28.0,4
,"Bagaimana dengan mahasiswa yang mendapat nilai D dan E, apa yang harus mereka lakukan?",Mahasiswa yang mendapat nilai D dan E wajib mengulang program pembelajaran dan ujian pada semester saat mata kuliah diprogram.,28.0,4
,Apakah rumus perhitungan IPS mahasiswa dalam satu semester?,"Rumus perhitungan IPS menggunakan: IPS = LKN / K, di mana K adalah besarnya SKS masing-masing mata kuliah dan N adalah nilai masing-masing mata kuliah.",28.0,5
,Bagaimana cara menghitung IPK mahasiswa dengan menggunakan rumus yang sama?,"IPK dihitung dengan menggunakan rumus yang sama, yaitu IPS = LKN / K, tetapi dengan K sebagai jumlah seluruh SKS mata kuliah yang telah ditempuh dengan nilai tertinggi dan N adalah nilai seluruh mata kuliah yang diperoleh.",28.0,5
,Apa yang dimaksud dengan penilaian hasil belajar mahasiswa?,Penilaian hasil belajar mahasiswa adalah proses evaluasi kemampuan dan pencapaian tujuan pembelajaran oleh mahasiswa.,28.0,6
,Apakah penilaian hasil belajar dilakukan secara berkala?,"Ya, penilaian hasil belajar dilakukan pada setiap semester.",28.0,7
,Apa prinsip-prinsip yang melandasi penilaian?,"Penilaian dilaksanakan berdasarkan prinsip kesesuaian, akuntabilitas, transparansi, kejujuran, dan keadilan.",28.0,8
,Apa saja aspek yang diukur dalam evaluasi hasil belajar?,"Aspek yang diukur dalam evaluasi hasil belajar mencakup kemampuan akademik dan keterampilan berperilaku, yaitu kognitif, afektif, psikomotorik, kejujuran akademik, kedisiplinan, kesantunan, kemampuan berinteraksi, dan bekerja sama.",28.0,9
,Siapakah yang boleh mengikuti evaluasi semester?,Peserta kuliah atau kegiatan pembelajaran yang tercantum dalam Daftar Peserta Mata Kuliah (DPMK) di sistem SIAMIK.,28.0,10
,"Apa yang mengatur ketentuan pelaksanaan, persyaratan, penjadwalan, dan tata tertib ujian?",Ketentuan tersebut diatur lebih lanjut oleh Fakultas.,28.0,11
,Apakah nilai hasil ujian diumumkan sesuai dengan ketentuan yang berlaku?,"Ya, nilai hasil ujian diumumkan sesuai dengan ketentuan yang berlaku.",28.0,12
,Apa yang akan dilakukan oleh Dekan jika dosen atau tim dosen tidak memberikan nilai hasil ujian semester sampai batas waktu yang ditentukan?,Dekan akan memberikan nilai B kepada semua Mahasiswa yang memenuhi syarat sebagai peserta ujian.,28.0,13
,Apakah mahasiswa wajib melaporkan hasil pembelajaran mereka?,"Ya, setiap mahasiswa wajib melaporkan hasil pembelajarannya dalam KHS ke PD-DIKTI di sistem SIAMIK pada setiap akhir semester.",28.0,14
,Ke mana mahasiswa harus melaporkan hasil pembelajaran mereka?,Mahasiswa harus melaporkan hasil pembelajaran mereka ke Pangkalan Data Pendidikan Tinggi (PD-DIKTI) di sistem SIAMIK.,28.0,14
,Apakah mahasiswa yang tidak melaporkan hasil pembelajarannya dapat melakukan perencanaan studi di KRS pada semester berikutnya?,"Tidak, karena menurut ketentuan tersebut, mereka tidak bisa melakukan perencanaan studinya dalam KRS pada semester berikutnya.",28.0,15
,Apakah wewenang dosen PA dalam memantau pelaporan hasil pembelajaran?,Dosen PA wajib memantau pelaporan hasil pembelajaran pada setiap mahasiswa yang menjadi bimbingan akademiknya.,28.0,16
,Bagaimana langkah-langkah yang harus diambil oleh dosen PA untuk memantau pelaporan hasil pembelajaran?,Dosen PA harus memantau pelaporan hasil pembelajaran tersebut berdasarkan ayat (14) pada setiap mahasiswa yang menjadi bimbingan akademiknya.,28.0,16
,Apa yang harus dilakukan oleh setiap mahasiswa program sarjana?,Setiap mahasiswa program sarjana wajib menyusun dan melaksanakan tugas akhir/skripsi.,30.0,1
,Apakah mahasiswa harus menyelesaikan mata kuliah prasyarat sebelum mengambil tugas akhir/skripsi/prototipe?,"Ya, mahasiswa harus menyelesaikan mata kuliah prasyarat untuk dapat mengambil tugas akhir/skripsi/prototipe.",30.0,2
,Apakah IPK minimal yang dibutuhkan oleh mahasiswa untuk dapat mengambil tugas akhir/skripsi/prototipe?,"IPK minimal 2,00 (dua koma nol nol) adalah syarat yang harus dipenuhi oleh mahasiswa untuk dapat mengambil tugas akhir/skripsi/prototipe.",30.0,2
,Apakah tugas akhir/skripsi/prototipe harus disusun berdasarkan kaidah dan etika keilmuan?,"Ya, tugas akhir/skripsi/prototipe wajib disusun berdasarkan kaidah dan etika keilmuan.",30.0,3
,Apakah tulisan tugas akhir/skripsi/prototipe boleh mengandung unsur plagiarisme?,"Tidak, tulisan tugas akhir/skripsi/prototipe harus bebas dari unsur plagiarisme.",30.0,3
,Apa yang dimaksud dengan topik tugas akhir/skripsi dalam peta jalan penelitian atau pengabdian masyarakat?,Topik tugas akhir/skripsi merupakan bagian dari peta jalan penelitian atau pengabdian masyarakat yang ditetapkan di Fakultas atau Program Studi.,30.0,4
,Apakah cek plagiasi yang diperlukan untuk laporan tugas akhir/skripsi/prototipe harus dikeluarkan secara resmi oleh Perpustakaan UPN “Veteran” Jawa Timur?,"Ya, cek plagiasi yang dikeluarkan secara resmi oleh Perpustakaan UPN “Veteran” Jawa Timur wajib dilampirkan untuk laporan tugas akhir/skripsi/prototipe.",30.0,5
,Berapa persentase maksimal toleransi plagiasi yang diizinkan dalam laporan tugas akhir/skripsi/prototipe?,Persyaratan plagiasi kurang dari 20% diperlukan untuk laporan tugas akhir/skripsi/prototipe.,30.0,5
,Berapa SKS yang ditetapkan sebagai beban studi tugas akhir atau skripsi?,Beban studi tugas akhir atau skripsi adalah 6 (enam) sampai dengan 10 (sepuluh) SKS.,30.0,6
,Apakah syarat yang harus dipenuhi sebelum ujian tugas akhir/skripsi/prototipe dapat dilaksanakan?,Mahasiswa harus menyelesaikan semua mata kuliah wajib dan pilihan sesuai kurikulum yang berlaku.,30.0,7
,Apakah ujian tugas akhir/skripsi/prototipe dilaksanakan secara tertutup?,"Ya, sesuai dengan peraturan yang berlaku di Program Studi.",30.0,8
,Berapa tahap yang ada dalam ujian tugas akhir/skripsi/prototipe?,Terdiri atas 2 (dua) tahap.,30.0,8
,Berapa jumlah dosen penguji tugas akhir/skripsi/prototipe yang diharapkan?,Minimal 2 (dua) orang.,30.0,9
,Apakah syarat untuk diundang sebagai penguji yang bukan dari kalangan akademik?,Penguji harus memiliki keahlian dalam bidang terkait.,30.0,10
,Siapa saja yang memiliki hak atas HKI terkait tugas akhir/skripsi?,"Mahasiswa, para pembimbing, dan universitas memiliki hak bersama atas HKI terkait tugas akhir/skripsi.",30.0,11
,"Apakah hak penggunaan data dan luarannya diatur dalam PKS antara dosen pembimbing, mahasiswa, dan pihak lain yang terkait?","Ya, hak penggunaan data dan luarannya diatur dalam Perjanjian Kerja Sama (PKS) antara dosen pembimbing, mahasiswa, dan pihak lain yang diketahui Program Studi dan disetujui oleh Fakultas/Dekan.",30.0,12
,"Apakah mahasiswa yang berhasil mempublikasikan artikel ilmiah dalam jurnal nasional terakreditasi Sinta 1-3 atau internasional bereputasi dengan Scimago Journal Rank (SJR) s 0,1 dan/atau Journal Impact Factor (JIF) s 0,05 sebagai penulis pertama masih harus menyusun skripsinya sampai selesai?","Ya, mahasiswa tetap harus menyusun skripsinya sampai selesai meskipun telah mempublikasikan artikel ilmiah tersebut.",30.0,13
,Apakah luaran tugas akhir/skripsi/prototipe dapat dibuat dalam bentuk lain?,"Ya, luaran tugas akhir/skripsi/prototipe bisa dibuat dalam bentuk cipta karya yang telah diuji keilmiahannya tingkat nasional/internasional.",30.0,14
,Apakah ada kriteria tambahan yang harus dipenuhi untuk menyelesaikan tugas akhir/skripsi di Fakultas?,"Ya, kriteria tambahan ditetapkan oleh Fakultas sebagai persyaratan tambahan.",30.0,15
,Apa yang harus dilakukan oleh mahasiswa program sarjana?,Mahasiswa program sarjana wajib mengikuti kegiatan KKN.,33.0,1
,Apakah ada kewajiban lain selain mengikuti kegiatan KKN bagi mahasiswa program sarjana?,Tidak disebutkan dalam teks bahwa ada kewajiban lain selain mengikuti kegiatan KKN.,33.0,1
,Apa syarat kumulatif SKS untuk dapat menjadi peserta KKN?,Peserta KKN harus mengumpulkan SKS kumulatif paling sedikit 80 (delapan puluh) SKS.,33.0,2
,Apa yang ditetapkan oleh Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM) untuk menentukan kegiatan KKN yang akan diikuti mahasiswa?,Universitas.,33.0,3
,Apa jangka waktu penyelenggaraan KKN?,Minimal selama 1 (satu) bulan dan maksimal 6 (enam) bulan.,33.0,4
,Siapa yang menetapkan perhitungan/konversi besar SKS masing-masing jenis KKN?,LPPM bersama Program Studi.,33.0,5
,Apa yang menentukan jadwal pelaksanaan KKN?,Jadwal pelaksanaan KKN ditetapkan dalam kalender akademik yang ditetapkan dengan Keputusan Rektor UPN “Veteran” Jawa Timur.,33.0,6
,Apa yang dapat dilakukan oleh Rektor untuk menetapkan kegiatan tertentu?,"Rektor dapat menetapkan kegiatan tertentu yang diakui dan disetarakan dengan KKN, yang dituangkan dalam Keputusan Rektor UPN “Veteran” Jawa Timur.",33.0,7
,Apa yang mengatur tata cara dan persyaratan pendaftaran KKN?,Tata cara dan persyaratan pendaftaran KKN diatur lebih lanjut dalam Buku Pedoman Pelaksanaan KKN.,33.0,8
,Apa saja persyaratan yang harus dipenuhi oleh mahasiswa untuk dinyatakan lulus?,"Persyaratan yang harus dipenuhi adalah telah lulus ujian tugas akhir/skripsi, telah menyerahkan revisi tugas akhir/skripsi yang lolos dari deteksi anti plagiarisme, berstatus sebagai mahasiswa aktif pada semester tersebut, menyelesaikan semua kewajiban administratif, menyelesaikan semua kewajiban dalam masa studi dan/atau tugas yang dibebankan, telah mengunggah tugas akhir/skripsi pada repository UPN “Veteran” Jawa Timur.",47.0,1
,Apakah syarat untuk mengunggah tugas akhir/skripsi pada repository UPN “Veteran” Jawa Timur?,Tugas akhir/skripsi dapat diunggah pada repository UPN “Veteran” Jawa Timur.,47.0,1
,Bagaimana status publikasi artikel dari tugas akhir/skripsi yang telah diterbitkan dalam jurnal nasional sebagai penulis pertama?,Artikel dari tugas akhir/skripsi harus memiliki status accepted/published dengan paling rendah di jurnal nasional.,47.0,1
,Bagaimana kelulusan mahasiswa dinyatakan?,Kelulusan mahasiswa dinyatakan melalui penetapan kelulusan di Fakultas.,47.0,2
,Apakah proses penetapan kelulusan mahasiswa dilakukan di tingkat Fakultas?,"Ya, penetapan kelulusan sebagaimana yang dimaksud pada ayat (2) tersebut diselenggarakan melalui yudisium di tingkat Fakultas.",47.0,3
,Apa yang harus dilakukan oleh mahasiswa yang tidak menyerahkan revisi dalam waktu 1 (satu) bulan sejak pelaksanaan ujian tugas akhir/skripsi?,Mahasiswa tersebut wajib mengikuti ujian ulang.,47.0,4
,Apakah ada beberapa predikat yang dapat diberikan kepada lulusan setelah menyelesaikan program sarjana?,"Ya, terdapat tiga predikat yaitu Memuaskan, Sangat Memuaskan, dan Pujian (Cumlaude).",47.0,5
,Apakah nilai IPK yang harus dicapai untuk memperoleh predikat kelulusan Memuaskan?,"Nilai IPK yang harus dicapai adalah 2,76 (dua koma tujuh enam) sampai dengan 3,00 (tiga koma nol nol).",47.0,6
,Apakah nilai IPK yang diperlukan untuk mendapatkan predikat kelulusan Sangat Memuaskan?,"Nilai IPK 3,01 (tiga koma nol satu) sampai dengan 3,50 (tiga koma lima nol).",47.0,7
,Apakah IPK minimum yang diperlukan untuk memperoleh predikat kelulusan Pujian?,"IPK 3,51 sampai dengan 4,00.",47.0,8
,Apakah masa studi yang diperhitungkan untuk menentukan predikat kelulusan Pujian (Cumlaude)?,Masa studi terjadwal (n semester) ditambah 1 (satu) semester.,47.0,9
,Siapa yang menerima penghargaan piagam dari Rektor?,"Lulusan dengan predikat ""pujian"" (cumlaude).",47.0,10
,Berapa kali upacara wisuda yang diselenggarakan oleh UPN “Veteran” Jawa Timur dalam satu tahun?,Sekurang-kurangnya 4 (empat) kali periode kelulusan.,48.0,1
,Apakah mahasiswa yang telah lulus dari pendidikan sarjana di UPN “Veteran” Jawa Timur wajib mengikuti upacara wisuda?,"Ya, mahasiswa yang telah lulus dari pendidikan sarjana di UPN “Veteran” Jawa Timur wajib mengikuti upacara wisuda pada periode kelulusannya, atau selambat-lambatnya 1 (satu) periode wisuda berikutnya sejak dinyatakan lulus.",48.0,2
,Apakah mahasiswa yang belum mengikuti wisuda dapat mendapatkan ijazah dan transkrip asli?,"Tidak, karena menurut teks tersebut, mahasiswa tersebut belum bisa mendapatkan ijazah dan transkrip asli.",48.0,3
,Apa yang diterima oleh mahasiswa yang telah lulus dari program sarjana?,"Mahasiswa yang telah lulus dari program sarjana akan mendapatkan ijazah, transkrip akademik, SKPI dan ucapan selamat dari Rektor.",48.0,4
,Apa saja kriteria yang digunakan untuk menentukan wisudawan terbaik?,"Kriteria yang digunakan adalah IPK tertinggi, masa studi tercepat dan tepat waktu, poin SKPM terbesar, serta kriteria lain yang ditetapkan oleh Fakultas.",48.0,5
,Apakah kriteria yang digunakan untuk menetapkan wisudawan berprestasi?,"Kriteria prestasi tertinggi secara akumulatif selama menjadi mahasiswa UPN “Veteran” Jawa Timur, sesuai dengan peraturan SKPM.",48.0,6
,Apa yang terjadi pada urutan ayat dalam suatu teks ketika ada perubahan?,"Ketika ada perubahan, urutan ayat akan berubah sehingga ayat (5) menjadi ayat (4), ayat (6) menjadi ayat (5) dan diubah, ayat (7) menjadi ayat (6), ayat (8) menjadi ayat (7), ayat (9) menjadi ayat (8), ayat (10) menjadi ayat (9), dan ayat (11) menjadi ayat (10).",,4
,Apa yang dimaksud dengan ijazah dalam konteks ini?,Ijazah diberikan kepada Mahasiswa yang telah dinyatakan lulus dari suatu Program Studi.,52.0,1
,Apakah informasi apa saja yang terdapat dalam sebuah ijazah?,"Informasi yang terdapat dalam sebuah ijazah antara lain nomor ijazah nasional, logo Universitas Pembangunan Nasional ""Veteran"" Jawa Timur, nama universitas, nomor pokok universitas, program pendidikan tinggi, nama Program Studi, nama lengkap pemilik ijazah, nomor induk mahasiswa, tempat dan tanggal lahir pemilik ijazah, gelar akademik/sebutan yang diberikan beserta singkatannya, tanggal, bulan, dan tahun kelulusan, tempat, tanggal, bulan dan tahun penerbitan ijazah, nama, jabatan, nomor induk pegawai, dan tanda tangan Rektor dan Dekan.",52.0,2
,Apa bentuk huruf yang digunakan untuk menulis ijazah?,Ijazah ditulis dengan bentuk huruf yang dibakukan oleh UPN “Veteran” Jawa Timur.,52.0,3
,Siapa yang menandatangani ijazah?,Rektor dan Dekan.,52.0,4
,Apakah bahasa yang digunakan untuk menerbitkan ijazah?,Bahasa Indonesia.,52.0,5
,Apakah prosedur penerbitan ijazah bagi setiap lulusan?,Ijazah diterbitkan satu kali bagi setiap lulusan.,52.0,6
,Apakah Keputusan Rektor UPN “Veteran” Jawa Timur mengatur prosedur penerbitan ijazah dan surat keterangan pengganti ijazah?,"Ya, Keputusan Rektor UPN “Veteran” Jawa Timur mengatur prosedur penerbitan ijazah dan surat keterangan pengganti ijazah.",52.0,8
,Siapa yang menandatangani legalisasi fotokopi atau salinan ijazah?,"Wakil Rektor bidang akademik dan/atau Dekan, atas nama Rektor.",52.0,9
,Apa yang harus dipenuhi oleh mahasiswa untuk menerima ijazah?,Mahasiswa harus memenuhi semua persyaratan administrasi di tingkat Fakultas dan/ atau di tingkat universitas.,52.0,10
,Apa yang dilakukan terhadap mahasiswa yang telah dinyatakan lulus dari suatu Program Studi?,Transkrip akademik diberikan kepada mereka.,53.0,1
,Apa saja informasi yang terdapat dalam transkrip akademik?,"Transkrip akademik memuat informasi tentang logo UPN “Veteran” Jawa Timur, nama Universitas Pembangunan Nasional “Veteran” Jawa Timur, nomor pokok UPN “Veteran” Jawa Timur, nomor transkrip akademik, homor ijazah nasional, program pendidikan tinggi, hama program studi, nomor pokok program studi, nama lengkap pemilik transkrip akademik, tempat dan tanggal lahir pemilik transkrip akademik, nomor induk mahasiswa, tanggal, bulan, dan tahun kelulusan, tempat, tanggal, bulan dan tahun penerbitan transkrip akademik, nama, jabatan, nomor induk pegawai dan tanda tangan Dekan, stempel UPN “Veteran” Jawa Timur, daftar semua nama mata kuliah yang ditempuh dan lulus, bobot SKS, dan nilai yang telah diperoleh mulai semester pertama sampai dengan semester akhir, serta IPK dan predikat kelulusan.",53.0,2
,Apakah semua mata kuliah yang ditempuh oleh mahasiswa dicantumkan dalam transkrip akademik?,"Ya, termasuk yang mengulang dan yang diperoleh melalui transfer kredit (credit transfer) dan/atau perolehan kredit (credit earning).",53.0,3
,Apakah transkrip akademik harus diterbitkan dalam bahasa apa?,Transkrip akademik harus diterbitkan menggunakan Bahasa Indonesia.,53.0,4
,Apakah yang dimaksud dengan transkrip akademik?,"Transkrip akademik adalah dokumen resmi yang memuat catatan kegiatan akademik seseorang, seperti nilai dan kredit kuliah yang telah ditempuh.",53.0,5
,"Apa yang mengatur prosedur penerbitan transkrip akademik di UPN ""Veteran"" Jawa Timur?",Keputusan Rektor UPN “Veteran” Jawa Timur mengatur prosedur penerbitan transkrip akademik.,53.0,6
,Siapa yang bertindak sebagai perwakilan Rektor untuk menandatangani legalisasi fotokopi atau salinan transkrip akademik?,Wakil Rektor bidang akademik dan/atau Dekan.,53.0,7
,Apakah syarat-syarat apa yang harus dipenuhi oleh mahasiswa sebelum menyampaikan transkrip akademik?,Mahasiswa harus memenuhi semua persyaratan administrasi di tingkat Fakultas dan/atau di tingkat Universitas.,53.0,8
