context,question,answer,valid?
KETENTUAN UMUM,Apa definisi prototipe?,Prototipe adalah tahapan untuk mentransformasi dari sebuah ide menjadi bentuk yang lebih berwujud.,
KETENTUAN UMUM,Apa yang dimaksud dengan yudisium?,Yudisium adalah penetapan kelulusan seorang mahasiswa yang telah memenuhi persyaratan kurikulum program studi di tingkat fakultas.,
KETENTUAN UMUM,Pengakuan apa yang diberikan melalui sertifikat kompetensi?,Sertifikat kompetensi adalah dokumen pengakuan kompetensi atas prestasi lulusan yang sesuai dengan keahlian dalam cabang ilmunya dan/atau memiliki prestasi di luar program studinya.,
KETENTUAN UMUM,Apa yang dimaksud dengan sertifikat kompetensi berdasarkan ketentuan umum ini?,Sertifikat kompetensi adalah dokumen pengakuan kompetensi atas prestasi lulusan yang sesuai dengan keahlian dalam cabang ilmunya dan/atau memiliki prestasi di luar program studinya.,
KETENTUAN UMUM,Bagaimana Surat Keterangan Pendamping Ijazah (SKPI) didefinisikan dalam ketentuan ini?,Surat Keterangan Pendamping Ijazah yang selanjutnya disingkat SKPI adalah dokumen yang memuat informasi tentang pencapaian akademik atau kualifikasi dari lulusan pendidikan tinggi bergelar.,
KETENTUAN UMUM,"Kriteria apa yang menentukan status mahasiswa sebagai ""aktif""?","Status mahasiswa sebagai ""aktif"" ditentukan oleh kegiatan registrasi administratif dan registrasi akademik serta keaktifan dalam melakukan kegiatan perkuliahan.",
KETENTUAN UMUM,Apa yang menjadi indikator status mahasiswa tidak aktif?,Status mahasiswa tidak aktif diindikasikan oleh mahasiswa yang tidak melakukan registrasi administratif dan/atau registrasi akademik.,
KETENTUAN UMUM,Berapa lama durasi maksimal cuti akademik yang dapat diambil mahasiswa dan siapa yang memberikan persetujuan?,Cuti akademik dapat diambil selama-lamanya 2 (dua) semester yang tidak berturut-turut dengan persetujuan Dekan.,
KETENTUAN UMUM,"Bagaimana proses penetapan sanksi akademik bagi mahasiswa di UPN ""Veteran"" Jawa Timur?","Penetapan sanksi akademik dilakukan berdasarkan rekomendasi dari tim penyelesaian pelanggaran akademik dan ditetapkan dengan Keputusan Rektor UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,"Apa yang dimaksud dengan undur diri bagi mahasiswa UPN ""Veteran"" Jawa Timur dan bagaimana penetapannya?","Undur diri adalah hak setiap mahasiswa untuk melepaskan statusnya sebagai mahasiswa UPN ""Veteran"" Jawa Timur yang ditetapkan dengan Keputusan Rektor UPN ""Veteran"" Jawa Timur setelah yang bersangkutan mengajukan permohonan secara tertulis kepada Dekan.",
KETENTUAN UMUM,Jelaskan pengertian putus studi atau Drop Out (DO) serta penyebabnya?,"Putus studi atau Drop Out (DO) adalah suatu kondisi seorang peserta didik dimana yang bersangkutan tidak mampu memenuhi persyaratan minimal untuk melanjutkan studi, baik karena alasan akademik dan/atau non-akademik.",
KETENTUAN UMUM,Berdasarkan apa status tidak melanjutkan studi karena meninggal dunia diakui?,Status tidak melanjutkan studi karena meninggal dunia diakui berdasarkan surat keterangan atau pemberitahuan dari Dekan.,
KETENTUAN UMUM,"Berdasarkan ketentuan umum, apa yang dimaksud dengan ""lulus""?","""Lulus"" adalah telah memenuhi semua persyaratan akademik dan administratif untuk ditetapkan sebagai sarjana.",
KETENTUAN UMUM,"Jelaskan definisi dari ""penyontekan dan/atau perbuatan curang"" menurut ketentuan ini.","""Penyontekan dan/ atau perbuatan curang"" adalah perbuatan dengan sengaja tidak menggunakan atau mencoba menggunakan bahan-bahan informasi atau alat bantu studi lainnya tanpa izin dari dosen yang bersangkutan dalam kegiatan akademik.",
KETENTUAN UMUM,"Apa yang dimaksud dengan ""penyertaan dalam pelanggaran akademik ringan""?","""Penyertaan dalam pelanggaran akademik ringan"" adalah perbuatan dengan sengaja atau tidak, bekerja sama atau ikut serta melakukan atau menyuruh melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik ringan.",
KETENTUAN UMUM,Bagaimana suatu perbuatan dapat dikategorikan sebagai perjokian dalam konteks kegiatan akademik?,"Suatu perbuatan dapat dikategorikan sebagai perjokian dalam kegiatan akademik apabila seseorang dengan sengaja atau tidak sengaja menggantikan kedudukan, melakukan tugas, atau melakukan kegiatan untuk kepentingan orang lain, baik atas permintaan orang lain maupun kehendak sendiri.",
KETENTUAN UMUM,Apa kriteria yang mendefinisikan perbantuan atau percobaan perbantuan pelanggaran akademik sedang?,"Perbantuan atau percobaan perbantuan pelanggaran akademik sedang didefinisikan sebagai perbuatan yang dilakukan dengan sengaja atau tidak sengaja, berupa membantu atau mencoba membantu menyediakan sarana atau prasarana yang berpotensi menyebabkan terjadinya pelanggaran akademik sedang.",
KETENTUAN UMUM,Tindakan apa saja yang termasuk dalam kategori penyertaan dalam pelanggaran akademik sedang?,"Penyertaan dalam pelanggaran akademik sedang mencakup perbuatan yang dilakukan dengan sengaja atau tidak sengaja, yaitu bekerjasama, ikut serta melakukan, atau menyuruh melakukan perbuatan-perbuatan yang berakibat pada terjadinya pelanggaran akademik sedang.",
KETENTUAN UMUM,Apa definisi plagiat berdasarkan ketentuan ini?,"Plagiat adalah perbuatan secara sengaja atau tidak sengaja dalam memperoleh atau mencoba memperoleh kredit atau nilai untuk suatu karya ilmiah, dengan mengutip sebagian atau seluruh karya dan/atau karya ilmiah pihak lain yang diakui sebagai karya ilmiahnya, tanpa menyatakan sumber secara tepat dan memadai.",
KETENTUAN UMUM,Jelaskan apa yang dimaksud dengan pemalsuan dalam lingkup kegiatan akademik menurut ketentuan ini.,"Pemalsuan adalah perbuatan secara sengaja atau tidak sengaja, tanpa izin yang berwenang mengganti atau mengubah/memalsukan simbol (cap), kop surat dan/atau instrumen pada surat menyurat dalam administrasi akademik, nama, tanda tangan, nilai atau transkrip akademik, ijazah, kartu tanda mahasiswa, tugas-tugas, laporan praktikum, keterangan, atau laporan dalam lingkup kegiatan akademik.",
KETENTUAN UMUM,Bagaimana suatu perbuatan dapat dikategorikan sebagai gratifikasi dan penyuapan?,"Suatu perbuatan dapat dikategorikan sebagai gratifikasi dan penyuapan apabila dilakukan secara sengaja atau tidak sengaja, dengan tujuan mempengaruhi atau mencoba mempengaruhi orang lain melalui bujukan, pemberian hadiah, atau janji, agar dosen atau tenaga kependidikan melakukan atau tidak melakukan sesuatu dalam jabatannya yang bertentangan dengan kewajibannya.",
KETENTUAN UMUM,Perbuatan seperti apa yang dikategorikan sebagai penghinaan menurut ketentuan ini?,"Penghinaan dikategorikan sebagai perbuatan yang secara sengaja atau tidak sengaja menyampaikan perkataan, tulisan, atau dalam bentuk apapun yang pada pokoknya merendahkan martabat kedudukan sesama mahasiswa, dosen, staf administrasi, maupun pejabat di lingkungan UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,Apa yang dimaksud dengan pelanggaran administrasi dan tata tertib berat?,"Pelanggaran administrasi dan tata tertib berat adalah perbuatan secara sengaja atau tidak sengaja, baik sendiri maupun kerjasama melakukan perbuatan yang bertentangan dengan ketentuan tata tertib dan administrasi yang dikeluarkan Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Republik Indonesia.",
KETENTUAN UMUM,Bagaimana perbantuan atau percobaan perbantuan pelanggaran akademik berat didefinisikan?,"Perbantuan atau percobaan perbantuan pelanggaran akademik berat didefinisikan sebagai perbuatan secara sengaja atau tidak sengaja, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik berat.",
KETENTUAN UMUM,Apa pengertian penyertaan dalam pelanggaran akademik berat?,"Penyertaan dalam pelanggaran akademik berat adalah perbuatan secara sengaja atau tidak sengaja, bekerjasama atau ikut serta melakukan atau menyuruh melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik berat.",
TUJUAN PENDIDIKAN PROGRAM SARJANA DAN SARJANA TERAPAN,Mahasiswa program sarjana dan sarjana terapan dipersiapkan untuk menjadi apa?,"Mahasiswa program sarjana dan sarjana terapan dipersiapkan untuk menjadi intelektual, ilmuwan yang beretika, berbudaya, berkarakter bela negara, kompeten, berdaya saing global, mampu memasuki dan/atau menciptakan lapangan kerja, serta mampu mengembangkan diri menjadi profesional.",
TUJUAN PENDIDIKAN PROGRAM SARJANA DAN SARJANA TERAPAN,Kompetensi utama apa yang diarahkan untuk dihasilkan oleh program sarjana dan sarjana terapan bagi lulusannya?,Program sarjana dan sarjana terapan diarahkan untuk menghasilkan lulusan dengan kompetensi utama sesuai dengan profil program studi masing-masing yang disetujui oleh senat fakultas.,
TUJUAN PENDIDIKAN PROGRAM SARJANA DAN SARJANA TERAPAN,Jenjang kompetensi berapa dalam KKNI yang menjadi tujuan dari program sarjana dan sarjana terapan?,Program sarjana dan sarjana terapan diarahkan untuk menghasilkan lulusan dengan kompetensi sesuai dengan jenjang 6 (enam) dalam KKNI.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa saja persyaratan yang harus dipenuhi dalam penyelenggaraan program studi sarjana dan sarjana terapan?,"Penyelenggaraan program studi sarjana dan sarjana terapan harus memiliki izin penyelenggaraan atau akreditasi yang masih berlaku, memenuhi baku mutu menurut sistem penjaminan mutu akademik, serta mempunyai paling sedikit 5 (lima) dosen tetap dengan kualifikasi sesuai peraturan yang berlaku.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana ketentuan akreditasi bagi program studi baru dalam penyelenggaraan program sarjana dan sarjana terapan?,Program studi baru dalam penyelenggaraan program sarjana dan sarjana terapan harus terakreditasi sesuai dengan ketentuan yang berlaku.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Status akreditasi apa saja yang diakui untuk program studi sesuai dengan ketentuan yang berlaku?,"Status akreditasi yang diakui adalah Terakreditasi BAN-PT dengan status A, B, atau C; Terakreditasi BAN-PT dengan status Unggul, Baik Sekali, Baik; Terakreditasi BAN-PT dengan status terakreditasi sementara, terakreditasi dan unggul; atau Terakreditasi Internasional oleh lembaga akreditasi internasional yang diakui Kemendikbud Ristek.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Dalam bentuk apa saja program sarjana dan sarjana terapan dapat diselenggarakan?,"Program sarjana dan sarjana terapan dapat diselenggarakan dalam bentuk kelas reguler, kelas internasional, kelas kerjasama, dan PSDKU.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa syarat bagi program studi untuk dapat menyelenggarakan program sarjana dan sarjana terapan kelas internasional?,Program sarjana dan sarjana terapan kelas internasional hanya dapat diselenggarakan pada program studi yang menyelenggarakan program sarjana kelas reguler terakreditasi/unggul/terakreditasi internasional.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa persyaratan kurikulum dan hasil lulusan yang harus dipenuhi oleh kelas reguler?,Kelas reguler harus menggunakan kurikulum dan menghasilkan lulusan dengan kompetensi utama yang sama.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana ketentuan kurikulum dan kompetensi lulusan pada kelas reguler?,Kelas reguler harus menggunakan kurikulum dan menghasilkan lulusan dengan kompetensi utama yang sama.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa tujuan program studi wajib menyelenggarakan minimal satu kelas mata kuliah dengan pengantar bahasa Inggris setiap semester?,Program studi wajib menyelenggarakan minimal 1 kelas mata kuliah pada setiap semester dengan pengantar bahasa Inggris untuk meningkatkan kemampuan berbahasa asing sebagai kompetensi pendukung.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa yang dimaksud dengan kelas kerjasama dan atas dasar apa program ini diselenggarakan?,"Kelas kerjasama merupakan program pendidikan yang diselenggarakan atas dasar Memorandum of Understanding (MoU) atau perjanjian kerjasama antara UPN ""Veteran"" Jawa Timur dengan instansi atau perusahaan lain guna memenuhi kebutuhan Sumber Daya Manusia (SDM) sesuai dengan spesifikasi instansi terkait.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apakah definisi dari kelas internasional berdasarkan bahasa pengantar yang digunakan?,Kelas internasional adalah program pendidikan yang diselenggarakan dengan menggunakan Bahasa Inggris sebagai bahasa pengantar.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana model penyelenggaraan kelas internasional dapat dilakukan oleh universitas?,"Kelas internasional dapat diselenggarakan sepenuhnya oleh universitas dan/atau bekerjasama dengan universitas mitra di luar negeri yang memiliki reputasi internasional minimal setara dengan UPN ""Veteran"" Jawa Timur dan terakreditasi di negaranya.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,"Bagaimanakah perbedaan pemberian gelar pada kelas internasional yang diselenggarakan sepenuhnya oleh UPN ""Veteran"" Jawa Timur dengan yang diselenggarakan melalui kerjasama?","Kelas internasional yang diselenggarakan sepenuhnya oleh UPN ""Veteran"" Jawa Timur akan memberikan gelar tunggal dari universitas, sementara kelas internasional yang diselenggarakan berdasarkan kerjasama dengan universitas mitra di luar negeri dapat memberikan gelar ganda dari UPN ""Veteran"" Jawa Timur dan dari universitas mitra di luar negeri.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,"Berapa persentase kesamaan kurikulum yang harus dipenuhi oleh kelas internasional dibandingkan dengan kelas reguler, dan apa capaian yang harus dihasilkan?","Kelas internasional, baik yang memberikan gelar tunggal maupun gelar ganda, harus menggunakan kurikulum paling sedikit 50 persen yang sama dengan kelas reguler dan menghasilkan lulusan dengan capaian pembelajaran yang sama.",
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana ketentuan mengenai jumlah peserta dalam kelas internasional?,Jumlah peserta kelas internasional tidak boleh lebih besar dari jumlah peserta program sarjana kelas reguler.,
PENYELENGGARAAN PROGRAM SARJANA DAN SARJANA TERAPAN,Apa syarat peringkat akreditasi bagi program studi yang akan membuka kelas PSDKU?,"Program studi yang akan membuka kelas PSDKU harus telah menyelenggarakan program studi yang sama di Kampus Utama UPN ""Veteran"" Jawa Timur dengan peringkat terakreditasi/unggul/terakreditasi internasional.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Melalui jalur seleksi apa saja penerimaan calon mahasiswa baru program sarjana dan sarjana terapan dilaksanakan?,"Penerimaan calon mahasiswa baru program sarjana dan sarjana terapan dilaksanakan melalui jalur seleksi tingkat nasional (SNBP & SNBT) dan jalur mandiri UPN ""Veteran"" Jawa Timur.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Pola-pola apa saja yang digunakan dalam pelaksanaan jalur mandiri UPN ""Veteran"" Jawa Timur?","Jalur mandiri UPN ""Veteran"" Jawa Timur dilaksanakan melalui tiga pola, yaitu Pola Reguler, Pola Prestasi, dan Pola Kemitraan & Kerjasama.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Bentuk ujian apa saja yang dapat diterapkan dalam sistem seleksi mahasiswa baru?,"Sistem seleksi mahasiswa baru dapat berbentuk ujian tulis berbasis kertas (PBT), ujian tulis berbasis komputer (UTBK/CBT), atau cara seleksi lain yang ditetapkan oleh universitas.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana tata cara penerimaan mahasiswa Program Sarjana dan Sarjana Terapan diatur?,Tata cara penerimaan mahasiswa Program Sarjana dan Sarjana Terapan diatur dalam Peraturan Rektor tersendiri.,
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apa saja persyaratan yang harus dipenuhi oleh calon mahasiswa program sarjana yang akan mendaftar?,"Calon mahasiswa program sarjana harus memenuhi persyaratan sebagai berikut: Warga Negara Indonesia (WNI) atau Warga Negara Asing (WNA) yang memperoleh izin belajar dari Kementerian Pendidikan dan Kebudayaan dan menguasai bahasa pengantar; lulus SMA atau sederajat, atau program paket C yang ijazahnya diakui UPN ""Veteran"" Jawa Timur; lulusan SMA pada T0 sampai T-2 atau usia ijazahnya tidak lebih dari 3 (tiga) tahun; sehat jasmani dan rohani; serta memenuhi syarat khusus yang ditentukan oleh prodi yang memberikan syarat khusus.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apa dasar penetapan syarat bagi calon mahasiswa kelas kerjasama?,Syarat bagi calon mahasiswa kelas kerjasama ditetapkan berdasarkan Memorandum of Understanding (MoU) dan Perjanjian Kerja Sama (PKS).,
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Apa dasar penetapan syarat bagi calon mahasiswa kelas kerjasama?,Syarat bagi calon mahasiswa kelas kerjasama ditetapkan berdasarkan Memorandum of Understanding (MoU) dan Perjanjian Kerja Sama (PKS).,
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Bagaimana daya tampung pada setiap program studi di UPN ""Veteran"" Jawa Timur ditetapkan?","Daya tampung pada setiap program studi ditetapkan dalam Keputusan Rektor UPN ""Veteran"" Jawa Timur dengan memperhatikan kemampuan sarana, prasarana, dan sumber daya manusia yang dimiliki.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Kapan seorang calon mahasiswa dinyatakan lolos seleksi?,"Calon mahasiswa dinyatakan lolos seleksi apabila memenuhi ketentuan yang dipersyaratkan, baik dalam seleksi nasional dan/atau seleksi mandiri.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,Bagaimana kriteria kelulusan bagi calon mahasiswa dalam proses seleksi?,"Calon mahasiswa dinyatakan lolos seleksi apabila memenuhi ketentuan yang dipersyaratkan, baik dalam seleksi nasional dan/atau seleksi mandiri.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Setelah dinyatakan lulus seleksi, apa kewajiban yang harus dipenuhi oleh calon mahasiswa dan apa konsekuensinya jika tidak melakukan registrasi administratif?","Calon mahasiswa yang dinyatakan lulus seleksi harus melakukan registrasi administratif dan registrasi akademik sesuai dengan jadwal yang telah ditetapkan oleh universitas. Apabila calon mahasiswa tidak melakukan registrasi administratif sesuai dengan jadwal yang ditetapkan, maka ia dianggap mengundurkan diri.",
PENERIMAAN MAHASISWA PROGRAM SARJANA DAN SARJANA TERAPAN,"Kapan seorang calon mahasiswa secara resmi memperoleh status sebagai mahasiswa UPN ""Veteran"" Jawa Timur?","Seorang calon mahasiswa mempunyai status resmi sebagai mahasiswa UPN ""Veteran"" Jawa Timur setelah dilantik pada upacara Penerimaan Mahasiswa Baru (PMB) dalam sidang Senat Terbuka.",
