context,question,answer,pasal,ayat
ketentuan umum,Apa saja yang termasuk dalam program studi?,"Program studi mencakup kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu, baik dalam jenis pendidikan akademik maupun pendidikan profesi.",1,7
ketentuan umum,"Apa itu dosen di UPN ""Veteran"" Jawa Timur?",Dosen adalah tenaga pendidik yang mengajar mahasiswa UPN “Veteran” Jawa Timur.,1,8
ketentuan umum,"Apa tugas utama seorang dosen di UPN ""Veteran"" Jawa Timur?","Sebagai tenaga pendidik, dosen bertanggung jawab untuk mengajar mahasiswa.",1,8
ketentuan umum,Apa itu Pembimbing Akademik (PA) menurut peranannya dalam proses akademik?,Pembimbing Akademik adalah dosen yang ditunjuk oleh fakultas untuk membimbing dan mengarahkan mahasiswa dalam menyusun rencana studi sesuai dengan aturan yang berlaku.,1,9
ketentuan umum,Apa tanggung jawab utama seorang Pembimbing Akademik (PA) terhadap mahasiswanya?,Tanggung jawab utama seorang Pembimbing Akademik adalah mengikuti perkembangan studi mahasiswa dan membantu mereka dalam menyusun rencana studi yang sesuai dengan aturan yang berlaku.,1,9
ketentuan umum,Siapa yang ditunjuk sebagai pembimbing skripsi/prototype/tugas akhir?,Dosen yang ditunjuk oleh Dekan.,1,10
ketentuan umum,Tujuan utama dari peran pembimbing skripsi/prototype/tugas akhir adalah apa?,Membimbing penyusunan karya tulis tugas akhir mahasiswa.,1,10
ketentuan umum,"Apa definisi mahasiswa menurut Universitas Pembangunan Nasional ""Veteran"" Jawa Timur?",Mahasiswa adalah peserta didik pada jenjang pendidikan tinggi di UPN “Veteran” Jawa Timur.,1,11
ketentuan umum,"Pada jenjang mana pendidikan yang ditempuh oleh mahasiswa menurut definisi Universitas Pembangunan Nasional ""Veteran"" Jawa Timur?",Jenjang pendidikan tinggi.,1,11
ketentuan umum,Apakah definisi mahasiswa asing menurut kriteria pendidikan tinggi di UPN “Veteran” Jawa Timur?,Mahasiswa asing adalah peserta didik pada jenjang pendidikan tinggi di UPN “Veteran” Jawa Timur yang berasal dari Warga Negara Asing (WNA).,1,12
ketentuan umum,Apakah syarat utama untuk diklasifikasikan sebagai mahasiswa asing?,Syarat utama adalah bahwa individu tersebut berasal dari Warga Negara Asing (WNA).,1,12
ketentuan umum,Apakah program sarjana ditujukan bagi lulusan pendidikan menengah atau sederajat?,"Ya, program sarjana diperuntukkan bagi lulusan pendidikan menengah atau sederajat.",1,13
ketentuan umum,Tujuan utama dari program sarjana adalah apa?,Mengamalkan ilmu pengetahuan dan teknologi melalui penalaran ilmiah.,1,13
ketentuan umum,Siapa saja yang dapat mengikuti Program Sarjana Terapan?,Lulusan pendidikan menengah atau sederajat.,1,14
ketentuan umum,Apa definisi Kerangka Kualifikasi Nasional Indonesia (KKNI)?,"KKNI adalah kerangka penjenjangan kualifikasi kompetensi yang dapat menyandingkan, menyetarakan dan mengintegrasikan antara bidang pendidikan dan bidang pelatihan kerja serta pengalaman kerja.",1,15
ketentuan umum,Apakah kurikulum merupakan seperangkat rencana dan pengaturan untuk program studi?,"Ya, kurikulum adalah seperangkat rencana dan pengaturan mengenai capaian pembelajaran lulusan, bahan kajian, proses, dan penilaian yang digunakan sebagai pedoman penyelenggaraan program studi.",1,16
ketentuan umum,Apa definisi dari Student Centered Learning (SCL)?,SCL adalah sistem pembelajaran yang menempatkan mahasiswa sebagai pelaku utama dalam proses pembelajaran dan dosen berfungsi sebagai fasilitator dan motivator.,1,17
ketentuan umum,Bagaimana peran dosen dalam sistem pembelajaran SCL?,"Dalam sistem pembelajaran SCL, dosen berfungsi sebagai fasilitator dan motivator.",1,17
ketentuan umum,"Apa definisi sitin menurut administrasi UPN ""Veteran"" Jawa Timur?",Sitin adalah peserta didik yang secara administratif terdaftar pada UPN “Veteran” Jawa Timur.,1,18
ketentuan umum,"Apakah kegiatan utama sitin di UPN ""Veteran"" Jawa Timur?",Kegiatan utama sitin di UPN “Veteran” Jawa Timur adalah mengikuti perkuliahan.,1,18
ketentuan umum,Apakah yang dimaksud dengan perolehan kredit (Credit Earning) dalam program akademik di UPN “Veteran” Jawa Timur?,Perolehan kredit adalah penambahan SKS mata kuliah yang diperoleh seorang mahasiswa dari luar program studinya.,1,19
ketentuan umum,Apa itu Transfer kredit?,Transfer kredit adalah transfer/konversi SKS mata kuliah yang diperoleh dari luar program studinya.,1,20
ketentuan umum,Bagaimana proses transfer kredit di UPN “Veteran” Jawa Timur?,Proses transfer kredit di UPN “Veteran” Jawa Timur dapat dilakukan baik di dalam maupun di luar universitas tersebut.,1,20
ketentuan umum,Apakah Pertukaran Mahasiswa UPN “Veteran” Jawa Timur juga meliputi kegiatan seni?,"Ya, Pertukaran Mahasiswa UPN “Veteran” Jawa Timur juga meliputi kegiatan seni.",1,21
ketentuan umum,Apa yang dimaksud dengan pertukaran mahasiswa berdasarkan kesepakatan kedua belah pihak?,Pertukaran mahasiswa adalah kegiatan yang didasarkan pada kesepakatan antara UPN “Veteran” Jawa Timur dan perguruan tinggi lain.,1,21
ketentuan umum,Apa yang dimaksud dengan Twinning Program di UPN “Veteran” Jawa Timur?,Twinning Program adalah pengembangan program studi yang sama antara UPN “Veteran” Jawa Timur dengan perguruan tinggi dari dalam maupun luar negeri.,1,22
ketentuan umum,Apa tujuan utama pelaksanaan Twinning Program di UPN “Veteran” Jawa Timur?,Tujuan utama pelaksanaan Twinning Program adalah untuk menyelenggarakan proses pembelajaran bersama antara program studi yang sama dengan perguruan tinggi lainnya.,1,22
ketentuan umum,Apa itu Joint Program dalam penyelenggaraan pendidikan tinggi?,Joint Program adalah suatu program penyelenggaraan pendidikan tinggi yang dilaksanakan berdasarkan kerjasama antar fakultas atau dengan perguruan tinggi lain di dalam atau luar negeri.,1,23
ketentuan umum,Apa tujuan utama dari pelaksanaan Joint Program?,Tujuan utama dari pelaksanaan Joint Program adalah untuk penyetaraan atau pengakuan program.,1,23
ketentuan umum,Apakah Double Degree adalah gelar ganda yang diperoleh dari UPN “Veteran” Jawa Timur dan perguruan tinggi lain?,"Ya, Double Degree adalah gelar ganda yang diperoleh dari UPN “Veteran” Jawa Timur dan dari perguruan tinggi di Indonesia atau perguruan tinggi lain di luar negeri.",1,24
ketentuan umum,Bagaimana banyaknya ijazah yang diberikan kepada mahasiswa yang menerima Double Degree?,Mahasiswa yang menerima Double Degree akan diberikan 2 (dua) ijazah.,1,24
ketentuan umum,Apakah Joint Degree dapat diperoleh dari UPN “Veteran” Jawa Timur bersama perguruan tinggi di luar negeri?,"Ya, Joint Degree dapat diperoleh dari UPN “Veteran” Jawa Timur bersama perguruan tinggi di Indonesia atau perguruan tinggi lain di luar negeri dalam rangka kerjasama pengembangan suatu program studi.",1,25
ketentuan umum,"Apa itu Program Studi di Luar Kampus Utama UPN ""Veteran"" Jawa Timur?",Program Studi di Luar Kampus Utama UPN “Veteran” Jawa Timur adalah program studi yang diselenggarakan di kabupaten/kota/kota administrative yang tidak berbatasan langsung dengan kampus utama UPN “Veteran” Jawa Timur.,1,26
ketentuan umum,"Apa tujuan penyelenggaraan Program Studi di Luar Kampus Utama oleh UPN ""Veteran"" Jawa Timur?",Penyelenggaraan Program Studi di Luar Kampus Utama oleh UPN “Veteran” Jawa Timur bertujuan untuk menyediakan akses pendidikan yang lebih luas dan memungkinkan mahasiswa untuk belajar di lokasi yang berbeda dari kampus utama.,1,26
ketentuan umum,Apakah status ganda adalah kedudukan yang sah bagi seorang mahasiswa dalam suatu kurun waktu tertentu?,"Ya, status ganda adalah kedudukan seorang mahasiswa yang memiliki status terdaftar sebagai mahasiswa pada dua atau lebih program studi reguler di Perguruan Tinggi Negeri (PTN).",1,27
ketentuan umum,Apakah seseorang dapat menjadi mahasiswa dengan status ganda di PTN?,"Ya, seseorang dapat menjadi mahasiswa dengan status ganda di PTN jika memiliki status terdaftar sebagai mahasiswa pada dua atau lebih program studi reguler.",1,27
ketentuan umum,Apakah registrasi administratif merupakan kegiatan wajib bagi mahasiswa?,"Ya, registrasi administratif adalah suatu kegiatan yang dilaksanakan oleh mahasiswa untuk memperoleh status terdaftar di universitas.",1,28
ketentuan umum,Apa itu registrasi akademik?,"Registrasi akademik adalah kegiatan mendaftarkan diri sebagai peserta kuliah, praktikum, ujian dan/ atau kegiatan akademik lainnya pada program studi.",1,29
ketentuan umum,Bagaimana cara melakukan registrasi akademik?,Registrasi akademik dapat dilakukan dengan mengisi Kartu Rencana Studi (KRS) secara online.,1,29
ketentuan umum,Apa itu Kartu Rencana Studi (KRS)?,Kartu Rencana Studi adalah rencana kegiatan akademik yang akan dilakukan oleh seorang mahasiswa selama semester tertentu.,1,30
ketentuan umum,Bagaimana KRS digunakan?,KRS digunakan sebagai rencana kegiatan akademik yang akan dilakukan oleh seorang mahasiswa selama semester tertentu.,1,30
ketentuan umum,Apakah semester merupakan satuan proses pembelajaran efektif?,"Ya, semester adalah satuan proses pembelajaran efektif selama paling sedikit 16 (enam belas) minggu.",1,31
ketentuan umum,Berapa lama waktu yang dibutuhkan untuk satu semester?,Paling sedikit 16 (enam belas) minggu.,1,31
ketentuan umum,Apa itu Satuan Kredit Semester (SKS) menurut definisi?,"Satuan Kredit Semester adalah takaran waktu kegiatan belajar yang dibebankan pada mahasiswa per minggu, per semester dalam proses pembelajaran.",1,32
ketentuan umum,Apa itu beban studi?,Beban studi adalah jumlah SKS (satuan kredit semester) yang wajib ditempuh mahasiswa untuk memenuhi persyaratan memperoleh gelar.,1,33
ketentuan umum,Apakah masa studi merupakan batasan untuk menyelesaikan beban studi?,"Ya, masa studi adalah batas untuk menyelesaikan beban studi dalam mengikuti proses pendidikan pada program studinya.",1,34
ketentuan umum,Bagaimana definisi masa studi terkait dengan proses pendidikan di program studi?,Masa studi merupakan batasan untuk menyelesaikan beban studi dalam mengikuti proses pendidikan pada program studinya.,1,34
ketentuan umum,Apa itu Indeks Prestasi Semester (IPS)?,IPS adalah ukuran prestasi akademik mahasiswa yang merupakan nilai rata-rata tertimbang dari nilai yang diperoleh mahasiswa tiap semester.,1,35
ketentuan umum,Bagaimana cara menghitung Indeks Prestasi Semester (IPS)?,IPS dihitung dengan menggunakan nilai rata-rata tertimbang dari nilai yang diperoleh mahasiswa tiap semester.,1,35
ketentuan umum,Apa itu Indeks Prestasi Kumulatif (IPK) menurut definisi di atas?,Indeks Prestasi Kumulatif adalah ukuran kemampuan mahasiswa sampai pada periode waktu tertentu yang diperoleh mahasiswa.,1,36
ketentuan umum,Apa itu Kartu Hasil Studi (KHS) menurut definisi di atas?,"Kartu Hasil Studi adalah kartu yang memuat nilai-nilai mata kuliah, indeks prestasi pada semester berjalan dan perolehan seluruh SKS yang telah dikumpulkan serta IPK.",1,37
ketentuan umum,Apa yang dimaksud dengan Kuliah Kerja Nyata (KKN) dalam program pendidikan sarjana?,Kuliah Kerja Nyata (KKN) adalah kegiatan akademik pada program pendidikan sarjana yang bersifat kurikuler dan interdisipliner dengan tujuan untuk mengidentifikasi dan membantu memecahkan permasalahan masyarakat dengan mengutamakan pemberdayaan masyarakat.,1,38
ketentuan umum,Apakah tugas akhir dapat diwujudkan dalam bentuk lain selain skripsi?,"Ya, tugas akhir dapat diwujudkan dalam bentuk lain sesuai dengan ketentuan yang berlaku.",1,39
ketentuan umum,Apa itu yudisium dalam konteks akademik?,Yudisium adalah penetapan kelulusan seorang mahasiswa yang telah memenuhi persyaratan kurikulum program studi di tingkat fakultas.,1,41
ketentuan umum,Apakah upacara wisuda merupakan bagian dari proses akademik di universitas?,"Ya, upacara wisuda adalah bentuk upacara akademik yang diselenggarakan dalam forum rapat senat terbuka universitas guna melantik lulusan.",1,42
ketentuan umum,Apakah ijazah adalah dokumen pengakuan prestasi belajar dan/atau penyelesaian suatu jenjang pendidikan tinggi?,"Ya, ijazah adalah dokumen pengakuan prestasi belajar dan/atau penyelesaian suatu jenjang pendidikan tinggi setelah lulus ujian yang diselenggarakan oleh perguruan tinggi.",1,43
ketentuan umum,Siapakah yang bertanggung jawab untuk menyelenggarakan ujian yang menghasilkan ijazah?,Perguruan tinggi yang bersangkutan adalah yang bertanggung jawab untuk menyelenggarakan ujian yang menghasilkan ijazah.,1,43
ketentuan umum,Apa itu sertifikat kompetensi?,Sertifikat kompetensi adalah dokumen pengakuan kompetensi atas prestasi lulusan yang sesuai dengan keahlian dalam cabang ilmunya dan/atau memiliki prestasi di luar program studinya.,1,44
ketentuan umum,Apa itu Surat Keterangan Pendamping Ijazah?,"Surat Keterangan Pendamping Ijazah adalah dokumen yang memuat informasi tentang pencapaian akademik atau kualifikasi dari lulusan pendidikan tinggi bergelar.

Context: ketentuan umum",1,45
ketentuan umum,Apa tujuan dari Surat Keterangan Pendamping Ijazah?,Tujuan dari Surat Keterangan Pendamping Ijazah adalah untuk memuat informasi tentang pencapaian akademik atau kualifikasi dari lulusan pendidikan tinggi bergelar.,1,45
ketentuan umum,Apa itu surat keterangan pengganti ijazah?,Surat keterangan pengganti ijazah adalah dokumen pernyataan yang dihargai sama dengan ijazah.,1,46
ketentuan umum,Apakah sertifikat kompetensi dan sertifikat profesi memiliki nilai sama dengan ijazah?,"Ya, sertifikat kompetensi dan sertifikat profesi dihargai sama dengan ijazah.",1,46
ketentuan umum,"Apa yang dimaksud dengan ""aktif"" dalam konteks mahasiswa?",Aktif adalah mahasiswa melakukan registrasi administratif dan registrasi akademik serta aktif melakukan kegiatan perkuliahan.,1,47
ketentuan umum,Apa yang dimaksud dengan tidak aktif dalam konteks registrasi administratif dan akademik?,Tidak aktif adalah mahasiswa yang tidak melakukan registrasi administratif dan/ atau registrasi akademik.,1,48
ketentuan umum,Bagaimana dampak dari status tidak aktif terhadap mahasiswa tersebut?,Status tidak aktif akan mempengaruhi kemampuan mahasiswa untuk mengikuti proses pendidikan dan aktivitas akademik.,1,48
ketentuan umum,Apakah cuti akademik dapat dilakukan selama satu semester?,"Ya, cuti akademik dapat dilakukan selama 1 (satu) semester dengan persetujuan Dekan.",1,49
ketentuan umum,Bagaimana jangka waktu maksimal cuti akademik yang tidak berturut-turut?,Jangka waktu maksimal cuti akademik yang tidak berturut-turut adalah 2 (dua) semester.,1,49
ketentuan umum,Apakah sanksi akademik dapat menyebabkan mahasiswa tidak diizinkan mengikuti kegiatan akademik?,"Ya, mendapatkan sanksi adalah akibat dari pelanggaran akademik sehingga mahasiswa tidak diizinkan mengikuti kegiatan akademik selama satu atau beberapa semester.",1,50
ketentuan umum,Siapa yang menetapkan sanksi akademik untuk mahasiswa?,"Sanksi akademik ditetapkan dengan Keputusan Rektor UPN “Veteran"" Jawa Timur, berdasarkan rekomendasi dari tim penyelesaian pelanggaran akademik.",1,50
ketentuan umum,Apakah yang dimaksud dengan perubahan status mahasiswa dari satu program studi ke lainnya?,Perubahan status mahasiswa tersebut disebut sebagai pindah studi (transfer).,1,51
ketentuan umum,Apakah hak undur diri merupakan hak bagi setiap mahasiswa?,"Ya, undur diri adalah hak setiap mahasiswa untuk melepaskan statusnya sebagai mahasiswa UPN “Veteran” Jawa Timur.",1,52
ketentuan umum,Bagaimana cara seorang mahasiswa mengajukan permohonan untuk membatalkan statusnya sebagai mahasiswa?,Seorang mahasiswa dapat mengajukan permohonan secara tertulis kepada Dekan.,1,52
ketentuan umum,Apakah yang dimaksud dengan putus studi atau Drop Out (DO) menurut ketentuan umum?,"Putus studi atau Drop Out (DO) adalah suatu kondisi seorang peserta didik yang tidak mampu memenuhi persyaratan minimal untuk melanjutkan studi, baik karena alasan akademik dan/atau non-akademik.",1,53
ketentuan umum,Apakah alasan yang sah untuk tidak melanjutkan studi adalah meninggal dunia?,"Ya, menurut ketentuan umum, alasan yang sah untuk tidak melanjutkan studi adalah meninggal dunia, berdasarkan surat keterangan/pemberitahuan dari Dekan.",1,54
ketentuan umum,Siapa yang memberikan pemberitahuan tentang meninggal dunia?,Pemberitahuan tentang meninggal dunia diberikan oleh Dekan.,1,54
ketentuan umum,Apa yang harus dipenuhi oleh seorang mahasiswa untuk dapat lulus?,Mahasiswa tersebut harus memenuhi semua persyaratan akademik dan administratif.,1,55
ketentuan umum,Apa itu penyontekan dan/atau perbuatan curang menurut ketentuan umum?,"Penyontekan dan/atau perbuatan curang adalah perbuatan dengan sengaja atau tidak, menggunakan atau mencoba menggunakan bahan-bahan informasi atau alat bantu studi lainnya tanpa izin dari dosen yang bersangkutan.",1,56
ketentuan umum,Apa itu perbantuan atau percobaan perbantuan pelanggaran akademik ringan?,"Perbantuan atau percobaan perbantuan pelanggaran akademik ringan adalah perbuatan dengan sengaja atau tidak, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik ringan.",1,57
ketentuan umum,Apakah perbantuan atau percobaan perbantuan pelanggaran akademik ringan harus dilakukan dengan sengaja?,"Ya, perbantuan atau percobaan perbantuan pelanggaran akademik ringan adalah perbuatan yang dapat dilakukan baik dengan sengaja maupun tidak.",1,57
ketentuan umum,Apa definisi penyertaan dalam pelanggaran akademik ringan?,"Penyertaan dalam pelanggaran akademik ringan adalah perbuatan dengan sengaja atau tidak, bekerja sama atau ikut serta melakukan atau menyuruh melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik ringan.",1,58
ketentuan umum,Apakah penyertaan dalam pelanggaran akademik ringan dapat dilakukan dengan sengaja?,"Ya, penyertaan dalam pelanggaran akademik ringan dapat dilakukan dengan sengaja.",1,58
ketentuan umum,Apakah perjokian dapat dilakukan atas permintaan orang lain?,"Ya, perjokian dapat dilakukan atas permintaan orang lain.",1,59
ketentuan umum,Apakah perbuatan perjokian harus dilakukan dengan sengaja atau tidak?,"Tidak, perbuatan perjokian dapat dilakukan baik dengan sengaja maupun tidak.",1,59
ketentuan umum,Apakah perbantuan atau percobaan perbantuan pelanggaran akademik sedang dapat dilakukan dengan sengaja atau tidak sengaja?,"Ya, perbantuan atau percobaan perbantuan pelanggaran akademik sedang dapat dilakukan baik dengan sengaja maupun tidak sengaja.",1,60
ketentuan umum,Apakah penyertaan dalam pelanggaran akademik sedang dapat dilakukan dengan sengaja atau tidak?,"Ya, penyertaan dalam pelanggaran akademik sedang dapat dilakukan dengan sengaja atau tidak.",1,61
ketentuan umum,Apa yang dimaksud dengan bekerjasama melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik sedang?,Be kerjasama melakukan perbuatan-perbuatan yang menyebabkan terjadinya pelanggaran akademik sedang adalah melibatkan diri secara aktif dalam melakukan atau menyuruh melakukan perbuatan yang melanggar ketentuan akademik.,1,61
ketentuan umum,Apa yang dimaksud dengan plagiat menurut ketentuan umum?,"Plagiat adalah perbuatan secara sengaja atau tidak sengaja dalam memperoleh atau mencoba memperoleh kredit atau nilai untuk suatu karya ilmiah, dengan mengutip sebagian atau seluruh karya dan/atau karya ilmiah pihak lain yang diakui sebagai karya ilmiahnya, tanpa menyatakan sumber secara tepat dan memadai.",1,62
ketentuan umum,Apakah pemalsuan adalah perbuatan sengaja atau tidak sengaja?,Pemalsuan adalah perbuatan secara sengaja atau tidak sengaja.,1,63
ketentuan umum,"Apa yang dimaksud dengan simbol (cap), kop surat, dan instrumen pada surat menyurat dalam administrasi akademik yang boleh diganti atau diubah karena pemalsuan?","Simbol (cap), kop surat, dan instrumen pada surat menyurat dalam administrasi akademik yang boleh diganti atau diubah karena pemalsuan adalah nama, tanda tangan, nilai atau transkrip akademik, ijazah, kartu tanda mahasiswa, tugas-tugas, laporan praktikum, keterangan, atau laporan.",1,63
ketentuan umum,Apakah gratifikasi dan penyuapan adalah perbuatan sengaja atau tidak sengaja?,"Gratifikasi dan penyuapan dapat berupa perbuatan sengaja atau tidak sengaja, karena dapat dilakukan dengan cara yang tidak sadar akan pengaruhnya terhadap orang lain.",1,64
ketentuan umum,Apakah penghinaan adalah perbuatan yang disengaja atau tidak sengaja?,"Penghinaan dapat berupa perbuatan yang disengaja maupun tidak sengaja, asalkan menyampaikan perkataan, tulisan, atau bentuk lainnya yang merendahkan martabat sesama mahasiswa, dosen, staf administrasi, atau pejabat di lingkungan UPN “Veteran” Jawa Timur.",1,65
ketentuan umum,Siapakah yang dapat menjadi korban dari perbuatan penghinaan?,"Korban dari perbuatan penghinaan adalah sesama mahasiswa, dosen, staf administrasi, maupun pejabat di lingkungan UPN “Veteran” Jawa Timur.",1,65
ketentuan umum,Apakah pelanggaran administrasi dan tata tertib berat dapat dilakukan secara sengaja atau tidak sengaja?,"Pelanggaran administrasi dan tata tertib berat dapat dilakukan secara sengaja maupun tidak sengaja.

Context: Ketentuan Umum",1,66
ketentuan umum,"Apakah perbuatan yang melanggar ketentuan tata tertib dan administrasi harus dikeluarkan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Republik Indonesia?","Ya, perbuatan yang melanggar ketentuan tata tertib dan administrasi harus dikeluarkan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Republik Indonesia.",1,66
ketentuan umum,Apa itu perbantuan atau percobaan perbantuan pelanggaran akademik berat?,"Perbantuan atau percobaan perbantuan pelanggaran akademik berat adalah perbuatan secara sengaja atau tidak sengaja, membantu atau mencoba membantu menyediakan sarana atau prasarana yang dapat menyebabkan terjadinya pelanggaran akademik berat.",1,67
ketentuan umum,Apakah perbantuan atau percobaan perbantuan pelanggaran akademik berat harus dilakukan secara sengaja?,"Ya, perbantuan atau percobaan perbantuan pelanggaran akademik berat dapat terjadi baik secara sengaja maupun tidak sengaja.",1,67
ketentuan umum,Apakah penyertaan dalam pelanggaran akademik berat dapat dilakukan secara sengaja atau tidak sengaja?,Penyertaan dalam pelanggaran akademik berat dapat dilakukan secara sengaja atau tidak sengaja.,1,68
tujuan pendidikan program sarjana dan sarjana terapan,Apa tujuan utama dari program sarjana dan sarjana terapan?,"Menyiapkan mahasiswa menjadi intelektual, ilmuwan yang beretika, berbudaya, berkarakter bela negara, kompeten, berdaya saing global, dan mampu memasuki dan/atau menciptakan lapangan kerja serta mengembangkan diri menjadi profesional.",2,1
tujuan pendidikan program sarjana dan sarjana terapan,Apa tujuan utama dari program sarjana dan sarjana terapan?,Menghasilkan lulusan dengan kompetensi utama sesuai dengan profil program studi masing-masing yang disetujui oleh senat fakultas.,2,2
tujuan pendidikan program sarjana dan sarjana terapan,Bagaimana profil program studi diakui sebagai standar untuk menghasilkan lulusan?,Profil program studi ditentukan dan disetujui oleh senat fakultas.,2,2
tujuan pendidikan program sarjana dan sarjana terapan,Apa tujuan utama dari pendidikan program sarjana dan sarjana terapan?,"Program sarjana dan sarjana terapan diarahkan untuk menghasilkan lulusan dengan kompetensi sesuai dengan jenjang 6 (enam) dalam KKNI.

Context: tujuan pendidikan program sarjana dan sarjana terapan",2,3
tujuan pendidikan program sarjana dan sarjana terapan,Apa yang dimaksud dengan kompetensi sesuai dengan jenjang 6 (enam) dalam KKNI?,Kompetensi sesuai dengan jenjang 6 (enam) dalam KKNI adalah standar kemampuan yang diharapkan dari lulusan program sarjana dan sarjana terapan.,2,3
penyelenggaraan program sarjana dan sarjana terapan,Apakah syarat untuk menyelenggarakan program studi sarjana dan sarjana terapan?,"Program studi harus memiliki izin penyelenggaraan atau akreditasi yang masih berlaku, memenuhi baku mutu menurut sistem penjaminan mutu akademik, serta memiliki minimal 5 dosen tetap dengan kualifikasi sesuai peraturan yang berlaku.",3,1
penyelenggaraan program sarjana dan sarjana terapan,Apakah program studi baru harus terakreditasi?,"Ya, program studi baru harus terakreditasi sesuai dengan ketentuan yang berlaku.

Context: penyelenggaraan program sarjana dan sarjana terapan",3,2
penyelenggaraan program sarjana dan sarjana terapan,Apa tujuan akreditasi program studi dalam penyelenggaraan program sarjana dan sarjana terapan?,Tujuan akreditasi program studi adalah untuk memastikan kualitas pendidikan yang diberikan oleh institusi.,3,2
penyelenggaraan program sarjana dan sarjana terapan,Apa saja kriteria akreditasi program studi yang diakui oleh Kemendikbudristek?,"Kriteria akreditasi program studi yang diakui oleh Kemendikbudristek adalah terakreditasi BAN-PT dengan status A, B, atau C, terakreditasi BAN-PT dengan status Unggul, Baik Sekali, Baik, terakreditasi BAN-PT dengan status terakreditasi sementara, terakreditasi dan unggul, serta terakreditasi Internasional oleh lembaga akreditasi internasional yang diakui Kemendikbudristek.",3,3
penyelenggaraan program sarjana dan sarjana terapan,Apa saja jenis bentuk penyelenggaraan program sarjana dan sarjana terapan?,"Program sarjana dan sarjana terapan dapat diselenggarakan dalam bentuk kelas reguler, kelas internasional, kelas kerjasama, dan PSDKU.",3,4
penyelenggaraan program sarjana dan sarjana terapan,Apakah program studi harus memiliki akreditasi internasional untuk menyelenggarakan program sarjana kelas reguler internasional?,"Tidak, namun program studi harus memiliki akreditasi/unggul/terakreditasi internasional atau terakreditasi.",3,5
penyelenggaraan program sarjana dan sarjana terapan,"Apakah ketentuan apa yang berlaku untuk pembukaan, penutupan, penggabungan, dan penggantian nama program Studi?",Ketentuan yang berlaku tersebut adalah mengikuti aturan-aturan yang telah ditetapkan oleh penyelenggara program sarjana dan sarjana terapan.,3,6
penyelenggaraan program sarjana dan sarjana terapan,Apa tujuan kelas reguler dalam pendidikan?,"Kelas reguler diutamakan untuk mendidik lulusan baru Sekolah Menengah Atas (SMA) atau yang sederajat.

Context: penyelenggaraan program sarjana dan sarjana terapan",4,1
